hour,date,hourly_people,hourly_dwelling_people,total_hourly_dwell_time,average_hourly_dwell_time,timestamp,temperature,precipiation_amount,precipitation_chance,percent_cloud_cover,percent_humidity,conditions,conditions_2
8,7/8/2024,1,0,0,0,7/8/2024 8:00,,,,,,,
9,7/8/2024,12,8,1.0833333333333333,0.083333333,7/8/2024 9:00,,,,,,,
10,7/8/2024,9,4,4.1,0.45,7/8/2024 10:00,,,,,,,
11,7/8/2024,2,0,0,0,7/8/2024 11:00,,,,,,,
12,7/8/2024,11,3,0.1166666666666666,0,7/8/2024 12:00,,,,,,,
13,7/8/2024,12,8,1.15,0.083333333,7/8/2024 13:00,,,,,,,
14,7/8/2024,6,3,0,0,7/8/2024 14:00,,,,,,,
15,7/8/2024,4,0,0,0,7/8/2024 15:00,,,,,,,
16,7/8/2024,13,9,32.65,2.5,7/8/2024 16:00,,,,,,,
17,7/8/2024,5,2,0.35,0.066666667,7/8/2024 17:00,,,,,,,
18,7/8/2024,3,1,0.4333333333333333,0.1333333333333333,7/8/2024 18:00,,,,,,,
19,7/8/2024,2,0,0,0,7/8/2024 19:00,,,,,,,
20,7/8/2024,5,1,0.3,0.05,7/8/2024 20:00,,,,,,,
21,7/8/2024,0,0,0,0,7/8/2024 21:00,,,,,,,
22,7/8/2024,1,0,0,0,7/8/2024 22:00,,,,,,,
23,7/8/2024,0,0,0,0,7/8/2024 23:00,,,,,,,
0,7/9/2024,0,0,0,0,7/9/2024 0:00,,,,,,,
1,7/9/2024,0,0,0,0,7/9/2024 1:00,,,,,,,
2,7/9/2024,0,0,0,0,7/9/2024 2:00,,,,,,,
3,7/9/2024,0,0,0,0,7/9/2024 3:00,,,,,,,
4,7/9/2024,0,0,0,0,7/9/2024 4:00,,,,,,,
5,7/9/2024,0,0,0,0,7/9/2024 5:00,,,,,,,
6,7/9/2024,0,0,0,0,7/9/2024 6:00,,,,,,,
7,7/9/2024,2,0,0,0,7/9/2024 7:00,,,,,,,
8,7/9/2024,0,0,0,0,7/9/2024 8:00,,,,,,,
9,7/9/2024,11,8,18.55,1.6833333333333331,7/9/2024 9:00,,,,,,,
10,7/9/2024,6,0,0,0,7/9/2024 10:00,,,,,,,
11,7/9/2024,0,0,0,0,7/9/2024 11:00,,,,,,,
12,7/9/2024,0,0,0,0,7/9/2024 12:00,,,,,,,
13,7/9/2024,0,0,0,0,7/9/2024 13:00,,,,,,,
14,7/9/2024,0,0,0,0,7/9/2024 14:00,,,,,,,
15,7/9/2024,0,0,0,0,7/9/2024 15:00,,,,,,,
16,7/9/2024,0,0,0,0,7/9/2024 16:00,,,,,,,
17,7/9/2024,0,0,0,0,7/9/2024 17:00,,,,,,,
18,7/9/2024,0,0,0,0,7/9/2024 18:00,,,,,,,
19,7/9/2024,2,0,0,0,7/9/2024 19:00,,,,,,,
20,7/9/2024,1,0,0,0,7/9/2024 20:00,,,,,,,
21,7/9/2024,0,0,0,0,7/9/2024 21:00,,,,,,,
22,7/9/2024,1,0,0,0,7/9/2024 22:00,,,,,,,
23,7/9/2024,0,0,0,0,7/9/2024 23:00,,,,,,,
0,7/10/2024,0,0,0,0,7/10/2024 0:00,59.9,0,0,95.7,93.88,Overcast,Cloudy
1,7/10/2024,0,0,0,0,7/10/2024 1:00,60.1,0,0,99.1,97.17,Overcast,Cloudy
2,7/10/2024,0,0,0,0,7/10/2024 2:00,59.6,0,0,100,97.19,Overcast,Cloudy
3,7/10/2024,0,0,0,0,7/10/2024 3:00,59.1,0.296,100,100,96.3,"Rain, Overcast",Rainy
4,7/10/2024,0,0,0,0,7/10/2024 4:00,59,0,0,96.8,97.26,Overcast,Cloudy
5,7/10/2024,0,0,0,0,7/10/2024 5:00,58.9,0,0,100,97.15,Overcast,Cloudy
6,7/10/2024,0,0,0,0,7/10/2024 6:00,58.5,0,0,95.8,96.92,Overcast,Cloudy
7,7/10/2024,0,0,0,0,7/10/2024 7:00,58.2,0,0,49.2,95.65,Partially cloudy,Cloudy
8,7/10/2024,0,0,0,0,7/10/2024 8:00,59.3,0,0,100,88.83,Overcast,Cloudy
9,7/10/2024,0,0,0,0,7/10/2024 9:00,60.3,0.213,100,94.2,73.25,"Rain, Overcast",Rainy
10,7/10/2024,0,0,0,0,7/10/2024 10:00,61.1,0,0,100,63.52,Overcast,Cloudy
11,7/10/2024,2,1,26.566666666666663,13.283333333333331,7/10/2024 11:00,61.6,0,0,81.9,66.09,Partially cloudy,Cloudy
12,7/10/2024,10,6,68.46666666666667,6.833333333333333,7/10/2024 12:00,63.3,0,0,94.2,58.89,Overcast,Cloudy
13,7/10/2024,16,12,143.68333333333334,8.966666666666667,7/10/2024 13:00,60.9,0,0,4.9,70.19,Clear,Clear
14,7/10/2024,8,8,97.45,12.166666666666666,7/10/2024 14:00,62.8,0,0,11.1,55.8,Clear,Clear
15,7/10/2024,4,0,0,0,7/10/2024 15:00,61.7,0.039,100,39.1,56.78,"Rain, Partially cloudy",Rainy
16,7/10/2024,16,12,126.71666666666668,7.916666666666667,7/10/2024 16:00,61.5,0,0,32.2,54.81,Partially cloudy,Cloudy
17,7/10/2024,23,17,78.65,3.4166666666666665,7/10/2024 17:00,60.2,0,0,100,60.77,Overcast,Cloudy
18,7/10/2024,8,2,0.95,0.1166666666666666,7/10/2024 18:00,58.1,0,0,62.6,65.57,Partially cloudy,Cloudy
19,7/10/2024,1,0,0,0,7/10/2024 19:00,57.5,0,0,37.1,69.63,Partially cloudy,Cloudy
20,7/10/2024,0,0,0,0,7/10/2024 20:00,55.5,0,0,48,77.06,Partially cloudy,Cloudy
21,7/10/2024,3,0,0,0,7/10/2024 21:00,52.4,0.015,100,27.4,88.63,"Rain, Partially cloudy",Rainy
22,7/10/2024,2,0,0,0,7/10/2024 22:00,50.8,0,0,99.2,92.3,Overcast,Cloudy
23,7/10/2024,0,0,0,0,7/10/2024 23:00,50.4,0,0,99.5,94.04,Overcast,Cloudy
0,7/11/2024,1,0,0,0,7/11/2024 0:00,50.1,0,0,50,95.97,Partially cloudy,Cloudy
1,7/11/2024,1,0,0,0,7/11/2024 1:00,49.4,0,0,76.3,96.94,Partially cloudy,Cloudy
2,7/11/2024,2,0,0,0,7/11/2024 2:00,48.9,0,0,83.7,97.69,Partially cloudy,Cloudy
3,7/11/2024,1,0,0,0,7/11/2024 3:00,49.3,0.002,100,66.7,97,"Rain, Partially cloudy",Rainy
4,7/11/2024,1,0,0,0,7/11/2024 4:00,47.7,0,0,71.2,94.77,Partially cloudy,Cloudy
5,7/11/2024,3,0,0,0,7/11/2024 5:00,48.1,0,0,75,92.76,Partially cloudy,Cloudy
6,7/11/2024,3,0,0,0,7/11/2024 6:00,48.3,0,0,88.6,89.53,Partially cloudy,Cloudy
7,7/11/2024,2,0,0,0,7/11/2024 7:00,48.3,0,0,92.1,93.62,Overcast,Cloudy
8,7/11/2024,0,0,0,0,7/11/2024 8:00,48.6,0,0,92.1,94.75,Overcast,Cloudy
9,7/11/2024,2,0,0,0,7/11/2024 9:00,53.9,0,0,40,88.14,Partially cloudy,Cloudy
10,7/11/2024,5,1,1.0333333333333334,0.2,7/11/2024 10:00,57.5,0,0,28.3,75.06,Partially cloudy,Cloudy
11,7/11/2024,8,3,12.033333333333331,1.5,7/11/2024 11:00,60.7,0,0,21.9,67.05,Partially cloudy,Cloudy
12,7/11/2024,7,0,0,0,7/11/2024 12:00,61.1,0,0,88.4,67.61,Partially cloudy,Cloudy
13,7/11/2024,9,6,60.96666666666667,6.766666666666667,7/11/2024 13:00,62.5,0,0,95.8,66.38,Overcast,Cloudy
14,7/11/2024,15,12,88.81666666666666,5.916666666666667,7/11/2024 14:00,59.5,0,0,67.5,79.28,Partially cloudy,Cloudy
15,7/11/2024,5,2,1.0833333333333333,0.2166666666666666,7/11/2024 15:00,60.5,0.009,100,88.4,75.48,"Rain, Partially cloudy",Rainy
16,7/11/2024,1,0,0,0,7/11/2024 16:00,61,0,0,14.1,78.68,Clear,Clear
17,7/11/2024,0,0,0,0,7/11/2024 17:00,58.1,0,0,99,87.86,Overcast,Cloudy
18,7/11/2024,1,0,0,0,7/11/2024 18:00,56,0,0,59.1,94.09,Partially cloudy,Cloudy
19,7/11/2024,0,0,0,0,7/11/2024 19:00,54.2,0,0,100,95.94,Overcast,Cloudy
20,7/11/2024,0,0,0,0,7/11/2024 20:00,53,0,0,100,97,Overcast,Cloudy
21,7/11/2024,0,0,0,0,7/11/2024 21:00,52.1,0.021,100,76.7,97.72,"Rain, Partially cloudy",Rainy
22,7/11/2024,2,0,0,0,7/11/2024 22:00,52.1,0,0,100,98.2,Overcast,Cloudy
23,7/11/2024,1,0,0,0,7/11/2024 23:00,52.3,0,0,100,98.11,Overcast,Cloudy
0,7/12/2024,1,0,0,0,7/12/2024 0:00,52.4,0,0,48.4,98.33,Partially cloudy,Cloudy
1,7/12/2024,0,0,0,0,7/12/2024 1:00,51.2,0,0,98.9,98.46,Overcast,Cloudy
2,7/12/2024,0,0,0,0,7/12/2024 2:00,51.2,0,0,100,98.48,Overcast,Cloudy
3,7/12/2024,0,0,0,0,7/12/2024 3:00,50.7,0.001,100,76.7,98.34,"Rain, Partially cloudy",Rainy
4,7/12/2024,0,0,0,0,7/12/2024 4:00,49.4,0,0,100,98.53,Overcast,Cloudy
5,7/12/2024,0,0,0,0,7/12/2024 5:00,49,0,0,100,98.9,Overcast,Cloudy
6,7/12/2024,0,0,0,0,7/12/2024 6:00,48.5,0,0,90,98.26,Partially cloudy,Cloudy
7,7/12/2024,1,0,0,0,7/12/2024 7:00,48.1,0,0,100,98.33,Overcast,Cloudy
8,7/12/2024,0,0,0,0,7/12/2024 8:00,49.1,0,0,100,98.85,Overcast,Cloudy
9,7/12/2024,0,0,0,0,7/12/2024 9:00,53.3,0,0,94.2,97.1,Overcast,Cloudy
10,7/12/2024,2,0,0,0,7/12/2024 10:00,56.5,0,0,99,86.07,Overcast,Cloudy
11,7/12/2024,0,0,0,0,7/12/2024 11:00,58.5,0,0,100,77.85,Overcast,Cloudy
12,7/12/2024,7,2,3.7666666666666666,0.5333333333333333,7/12/2024 12:00,61,0,0,90,70.08,Partially cloudy,Cloudy
13,7/12/2024,3,1,0.3166666666666666,0.1,7/12/2024 13:00,61.8,0,0,100,62.54,Overcast,Cloudy
14,7/12/2024,5,2,5.016666666666667,1,7/12/2024 14:00,62.4,0,0,100,62.73,Overcast,Cloudy
15,7/12/2024,15,10,47.7,3.1666666666666665,7/12/2024 15:00,62,0,0,95.8,61.12,Overcast,Cloudy
16,7/12/2024,11,7,41.11666666666667,3.733333333333333,7/12/2024 16:00,61,0,0,100,67.02,Overcast,Cloudy
17,7/12/2024,3,0,0,0,7/12/2024 17:00,59.1,0,0,100,72.09,Overcast,Cloudy
18,7/12/2024,2,0,0,0,7/12/2024 18:00,56.7,0,0,94.2,76.91,Overcast,Cloudy
19,7/12/2024,1,0,0,0,7/12/2024 19:00,55,0,0,100,83.04,Overcast,Cloudy
20,7/12/2024,0,0,0,0,7/12/2024 20:00,54.3,0,0,100,86.57,Overcast,Cloudy
21,7/12/2024,2,1,0,0,7/12/2024 21:00,54.4,0,0,100,84.27,Overcast,Cloudy
22,7/12/2024,1,0,0,0,7/12/2024 22:00,54.2,0,0,100,84.89,Overcast,Cloudy
23,7/12/2024,0,0,0,0,7/12/2024 23:00,53.4,0,0,100,87.21,Overcast,Cloudy
0,7/13/2024,0,0,0,0,7/13/2024 0:00,53.5,0,0,94.2,86.75,Overcast,Cloudy
1,7/13/2024,0,0,0,0,7/13/2024 1:00,52.9,0,0,84.7,88.13,Partially cloudy,Cloudy
2,7/13/2024,0,0,0,0,7/13/2024 2:00,52.2,0,0,95.2,89.94,Overcast,Cloudy
3,7/13/2024,0,0,0,0,7/13/2024 3:00,51.2,0,0,0,89.33,Clear,Clear
4,7/13/2024,0,0,0,0,7/13/2024 4:00,51.2,0,0,0,89.33,Clear,Clear
5,7/13/2024,0,0,0,0,7/13/2024 5:00,51.2,0,0,0,85.88,Clear,Clear
6,7/13/2024,0,0,0,0,7/13/2024 6:00,51.3,0,0,0,88.86,Clear,Clear
7,7/13/2024,1,0,0,0,7/13/2024 7:00,51.1,0,0,34.7,91,Partially cloudy,Cloudy
8,7/13/2024,0,0,0,0,7/13/2024 8:00,52.3,0,0,0,85.64,Clear,Clear
9,7/13/2024,0,0,0,0,7/13/2024 9:00,56.4,0,0,16.1,75.4,Clear,Clear
10,7/13/2024,1,0,0,0,7/13/2024 10:00,60.4,0,0,5,68.12,Clear,Clear
11,7/13/2024,1,0,0,0,7/13/2024 11:00,63.2,0,0,11.6,59.81,Clear,Clear
12,7/13/2024,1,0,0,0,7/13/2024 12:00,66,0,0,50,51.3,Partially cloudy,Cloudy
13,7/13/2024,2,0,0,0,7/13/2024 13:00,65.5,0,0,63.6,50.05,Partially cloudy,Cloudy
14,7/13/2024,4,0,0,0,7/13/2024 14:00,65.8,0,0,5,50.8,Clear,Clear
15,7/13/2024,1,0,0,0,7/13/2024 15:00,67,0,0,60,47.48,Partially cloudy,Cloudy
16,7/13/2024,0,0,0,0,7/13/2024 16:00,66.4,0,0,3.2,47.42,Clear,Clear
17,7/13/2024,1,0,0,0,7/13/2024 17:00,63.5,0,0,4.6,51.43,Clear,Clear
18,7/13/2024,7,0,0,0,7/13/2024 18:00,58.1,0,0,10,64.92,Clear,Clear
19,7/13/2024,0,0,0,0,7/13/2024 19:00,54.4,0,0,5,74.48,Clear,Clear
20,7/13/2024,1,0,0,0,7/13/2024 20:00,52.3,0,0,4.9,80.98,Clear,Clear
21,7/13/2024,0,0,0,0,7/13/2024 21:00,51.1,0,0,4.7,83.46,Clear,Clear
22,7/13/2024,1,0,0,0,7/13/2024 22:00,50.5,0,0,4.1,85.99,Clear,Clear
23,7/13/2024,0,0,0,0,7/13/2024 23:00,50.7,0,0,0,79.63,Clear,Clear
0,7/14/2024,1,0,0,0,7/14/2024 0:00,48.3,0,0,0.4,89.47,Clear,Clear
1,7/14/2024,0,0,0,0,7/14/2024 1:00,47.4,0,0,2.9,90.25,Clear,Clear
2,7/14/2024,0,0,0,0,7/14/2024 2:00,47.2,0,0,7.1,90.21,Clear,Clear
3,7/14/2024,0,0,0,0,7/14/2024 3:00,49.1,0,0,80,88.3,Partially cloudy,Cloudy
4,7/14/2024,0,0,0,0,7/14/2024 4:00,49.9,0,0,27.5,76.17,Partially cloudy,Cloudy
5,7/14/2024,0,0,0,0,7/14/2024 5:00,47.8,0,0,5,83.14,Clear,Clear
6,7/14/2024,0,0,0,0,7/14/2024 6:00,47,0,0,42.6,86.02,Partially cloudy,Cloudy
7,7/14/2024,0,0,0,0,7/14/2024 7:00,48.1,0,0,5,83.98,Clear,Clear
8,7/14/2024,0,0,0,0,7/14/2024 8:00,50.7,0,0,100,72.27,Overcast,Cloudy
9,7/14/2024,0,0,0,0,7/14/2024 9:00,54.7,0,0,90,65.13,Partially cloudy,Cloudy
10,7/14/2024,0,0,0,0,7/14/2024 10:00,56.1,0,0,62.2,67.32,Partially cloudy,Cloudy
11,7/14/2024,0,0,0,0,7/14/2024 11:00,55.2,0,0,98.7,84.22,Overcast,Cloudy
12,7/14/2024,0,0,0,0,7/14/2024 12:00,61.6,0,0,100,58.21,Overcast,Cloudy
13,7/14/2024,3,1,5.183333333333334,1.7166666666666666,7/14/2024 13:00,59.8,0,0,100,67.96,Overcast,Cloudy
14,7/14/2024,1,0,0,0,7/14/2024 14:00,58.9,0,0,12.9,82.81,Clear,Clear
15,7/14/2024,5,3,5.6,1.1166666666666667,7/14/2024 15:00,57.8,0.109,100,88.4,82.65,"Rain, Partially cloudy",Rainy
16,7/14/2024,0,0,0,0,7/14/2024 16:00,58.6,0,0,74.1,82.17,Partially cloudy,Cloudy
17,7/14/2024,1,0,0,0,7/14/2024 17:00,57.6,0,0,81.8,80.97,Partially cloudy,Cloudy
18,7/14/2024,1,0,0,0,7/14/2024 18:00,56.8,0,0,88.4,83.31,Partially cloudy,Cloudy
19,7/14/2024,0,0,0,0,7/14/2024 19:00,56,0,0,80.5,81.68,Partially cloudy,Cloudy
20,7/14/2024,6,3,1.5166666666666666,0.25,7/14/2024 20:00,54.5,0,0,30,81.9,Partially cloudy,Cloudy
21,7/14/2024,3,1,0,0,7/14/2024 21:00,53.5,0,0,22,80.34,Partially cloudy,Cloudy
22,7/14/2024,0,0,0,0,7/14/2024 22:00,51,0,0,30.3,89.52,Partially cloudy,Cloudy
23,7/14/2024,1,0,0,0,7/14/2024 23:00,50.4,0,0,6.6,90.28,Clear,Clear
0,7/15/2024,0,0,0,0,7/15/2024 0:00,49.4,0,0,10,91.97,Clear,Clear
1,7/15/2024,0,0,0,0,7/15/2024 1:00,46.1,0,0,21.7,92.75,Partially cloudy,Cloudy
2,7/15/2024,0,0,0,0,7/15/2024 2:00,47.4,0,0,1.1,95.26,Clear,Clear
3,7/15/2024,0,0,0,0,7/15/2024 3:00,47.6,0,0,60,95.47,Partially cloudy,Cloudy
4,7/15/2024,0,0,0,0,7/15/2024 4:00,49.1,0,0,0,83.99,Clear,Clear
5,7/15/2024,0,0,0,0,7/15/2024 5:00,46.4,0,0,19.3,89.83,Clear,Clear
6,7/15/2024,0,0,0,0,7/15/2024 6:00,45.8,0,0,10,96.06,Clear,Clear
7,7/15/2024,0,0,0,0,7/15/2024 7:00,45.1,0,0,0,95.81,Clear,Clear
8,7/15/2024,0,0,0,0,7/15/2024 8:00,46.7,0,0,5,94.78,Clear,Clear
9,7/15/2024,3,1,3.533333333333333,1.1666666666666667,7/15/2024 9:00,53.3,0,0,10,88.39,Clear,Clear
10,7/15/2024,9,4,36.35,4.033333333333333,7/15/2024 10:00,58.2,0,0,0,71.84,Clear,Clear
11,7/15/2024,15,10,64.51666666666667,4.3,7/15/2024 11:00,62.3,0,0,0,60.43,Clear,Clear
12,7/15/2024,1,0,0,0,7/15/2024 12:00,63.9,0,0,0,59.6,Clear,Clear
13,7/15/2024,2,0,0,0,7/15/2024 13:00,66.1,0,0,0,54.99,Clear,Clear
14,7/15/2024,7,0,0,0,7/15/2024 14:00,67.8,0,0,0,54.35,Clear,Clear
15,7/15/2024,7,2,8.966666666666667,1.2666666666666666,7/15/2024 15:00,69.1,0.002,100,0,50.31,Rain,Rainy
16,7/15/2024,6,1,0,0,7/15/2024 16:00,69,0,0,0,53.21,Clear,Clear
17,7/15/2024,3,0,0,0,7/15/2024 17:00,66.1,0,0,0,55.48,Clear,Clear
18,7/15/2024,3,0,0,0,7/15/2024 18:00,60.5,0,0,0,67.57,Clear,Clear
19,7/15/2024,5,0,0,0,7/15/2024 19:00,57.4,0,0,0,75.21,Clear,Clear
20,7/15/2024,2,0,0,0,7/15/2024 20:00,56.2,0,0,0,78.08,Clear,Clear
21,7/15/2024,0,0,0,0,7/15/2024 21:00,55.8,0,0,0,80.26,Clear,Clear
22,7/15/2024,0,0,0,0,7/15/2024 22:00,55.7,0,0,0,77.75,Clear,Clear
23,7/15/2024,0,0,0,0,7/15/2024 23:00,54.7,0,0,0,79.02,Clear,Clear
0,7/16/2024,0,0,0,0,7/16/2024 0:00,53.5,0,0,0,81.22,Clear,Clear
1,7/16/2024,0,0,0,0,7/16/2024 1:00,51.9,0,0,0,84.34,Clear,Clear
2,7/16/2024,0,0,0,0,7/16/2024 2:00,51.1,0,0,0,83.25,Clear,Clear
3,7/16/2024,0,0,0,0,7/16/2024 3:00,50.5,0,0,0,84.1,Clear,Clear
4,7/16/2024,0,0,0,0,7/16/2024 4:00,50.5,0,0,0,82.2,Clear,Clear
5,7/16/2024,0,0,0,0,7/16/2024 5:00,49.5,0,0,0,82.74,Clear,Clear
6,7/16/2024,0,0,0,0,7/16/2024 6:00,48.7,0,0,0.1,84.14,Clear,Clear
7,7/16/2024,0,0,0,0,7/16/2024 7:00,48.5,0,0,3,82.82,Clear,Clear
8,7/16/2024,0,0,0,0,7/16/2024 8:00,50.8,0,0,2,81.71,Clear,Clear
9,7/16/2024,2,0,0,0,7/16/2024 9:00,58.6,0,0,10,63.35,Clear,Clear
10,7/16/2024,1,0,0,0,7/16/2024 10:00,63.2,0,0,0,54.32,Clear,Clear
11,7/16/2024,3,0,0,0,7/16/2024 11:00,66.8,0,0,0,48.34,Clear,Clear
12,7/16/2024,5,1,4.166666666666667,0.8333333333333334,7/16/2024 12:00,69.5,0,0,0,46.82,Clear,Clear
13,7/16/2024,3,1,9.416666666666666,3.1333333333333333,7/16/2024 13:00,71.3,0,0,0,44.83,Clear,Clear
14,7/16/2024,7,0,0,0,7/16/2024 14:00,72.1,0,0,0,41.76,Clear,Clear
15,7/16/2024,3,0,0,0,7/16/2024 15:00,72.7,0,0,0,41.15,Clear,Clear
16,7/16/2024,3,1,17.416666666666668,5.8,7/16/2024 16:00,72.1,0,0,0.1,42.33,Clear,Clear
17,7/16/2024,6,0,0,0,7/16/2024 17:00,69,0,0,0,47.6,Clear,Clear
18,7/16/2024,4,0,0,0,7/16/2024 18:00,64.4,0,0,0,54.6,Clear,Clear
19,7/16/2024,0,0,0,0,7/16/2024 19:00,62.2,0,0,0,58.93,Clear,Clear
20,7/16/2024,1,0,0,0,7/16/2024 20:00,60.1,0,0,0,62.66,Clear,Clear
21,7/16/2024,3,0,0,0,7/16/2024 21:00,58.1,0,0,0,65.91,Clear,Clear
22,7/16/2024,3,0,0,0,7/16/2024 22:00,58.5,0,0,0,63.95,Clear,Clear
23,7/16/2024,0,0,0,0,7/16/2024 23:00,58.4,0,0,0,62.46,Clear,Clear
0,7/17/2024,0,0,0,0,7/17/2024 0:00,58.1,0,0,5,62.78,Clear,Clear
1,7/17/2024,0,0,0,0,7/17/2024 1:00,57.3,0,0,5,64.26,Clear,Clear
2,7/17/2024,0,0,0,0,7/17/2024 2:00,57.8,0,0,96.4,61.04,Overcast,Cloudy
3,7/17/2024,0,0,0,0,7/17/2024 3:00,57.3,0,0,40,59.68,Partially cloudy,Cloudy
4,7/17/2024,0,0,0,0,7/17/2024 4:00,57.3,0,0,42.9,57.97,Partially cloudy,Cloudy
5,7/17/2024,0,0,0,0,7/17/2024 5:00,58.3,0,0,100,54.92,Overcast,Cloudy
6,7/17/2024,0,0,0,0,7/17/2024 6:00,59.2,0,0,90,52.35,Partially cloudy,Cloudy
7,7/17/2024,0,0,0,0,7/17/2024 7:00,60.2,0,0,92,49.95,Overcast,Cloudy
8,7/17/2024,0,0,0,0,7/17/2024 8:00,59.7,0,0,100,53.91,Overcast,Cloudy
9,7/17/2024,2,0,0,0,7/17/2024 9:00,60.2,0,0,90,52.09,Partially cloudy,Cloudy
10,7/17/2024,0,0,0,0,7/17/2024 10:00,64.7,0,0,100,44.45,Overcast,Cloudy
11,7/17/2024,0,0,0,0,7/17/2024 11:00,68.8,0,0,7.1,39.16,Clear,Clear
12,7/17/2024,2,0,0,0,7/17/2024 12:00,68.8,0,0,88.4,41.27,Partially cloudy,Cloudy
13,7/17/2024,2,0,0,0,7/17/2024 13:00,70.7,0,0,96.9,43.71,Overcast,Cloudy
14,7/17/2024,5,3,52.516666666666666,10.5,7/17/2024 14:00,72,0,0,98.3,45.69,Overcast,Cloudy
15,7/17/2024,7,3,12.9,1.8333333333333333,7/17/2024 15:00,70,0,0,94.2,55.41,Overcast,Cloudy
16,7/17/2024,6,2,109.95,18.316666666666663,7/17/2024 16:00,69.6,0,0,100,58.89,Overcast,Cloudy
17,7/17/2024,9,3,51.3,5.7,7/17/2024 17:00,69.1,0,0,100,60.43,Overcast,Cloudy
18,7/17/2024,3,0,0,0,7/17/2024 18:00,67.8,0,0,100,69.52,Overcast,Cloudy
19,7/17/2024,1,0,0,0,7/17/2024 19:00,66.4,0,0,100,76,Overcast,Cloudy
20,7/17/2024,0,0,0,0,7/17/2024 20:00,63.7,0,0,100,89.39,Overcast,Cloudy
21,7/17/2024,1,0,0,0,7/17/2024 21:00,62.6,0.495,100,100,97.26,"Rain, Overcast",Rainy
22,7/17/2024,1,0,0,0,7/17/2024 22:00,61.2,0,0,100,97.62,Overcast,Cloudy
23,7/17/2024,0,0,0,0,7/17/2024 23:00,60.3,0,0,100,97.64,Overcast,Cloudy
0,7/18/2024,0,0,0,0,7/18/2024 0:00,59.6,0,0,100,93.27,Overcast,Cloudy
1,7/18/2024,0,0,0,0,7/18/2024 1:00,59.4,0,0,100,97.33,Overcast,Cloudy
2,7/18/2024,0,0,0,0,7/18/2024 2:00,59.2,0,0,100,98.19,Overcast,Cloudy
3,7/18/2024,0,0,0,0,7/18/2024 3:00,58.2,0.618,100,100,98.56,"Rain, Overcast",Rainy
4,7/18/2024,0,0,0,0,7/18/2024 4:00,57.4,0,0,100,98.49,Overcast,Cloudy
5,7/18/2024,0,0,0,0,7/18/2024 5:00,57.2,0,0,100,98.62,Overcast,Cloudy
6,7/18/2024,0,0,0,0,7/18/2024 6:00,56.1,0,0,94.2,98.26,Overcast,Cloudy
7,7/18/2024,0,0,0,0,7/18/2024 7:00,54.6,0,0,100,97.69,Overcast,Cloudy
8,7/18/2024,0,0,0,0,7/18/2024 8:00,54.4,0,0,41.8,98.06,Partially cloudy,Cloudy
9,7/18/2024,0,0,0,0,7/18/2024 9:00,55,0.098,100,94.2,97.72,"Rain, Overcast",Rainy
10,7/18/2024,0,0,0,0,7/18/2024 10:00,55.6,0,0,95.5,94.42,Overcast,Cloudy
11,7/18/2024,0,0,0,0,7/18/2024 11:00,55.8,0,0,82.1,92.05,Partially cloudy,Cloudy
