date,daily,social,ped,index
7/8/2024,4.807692308,0.625,5.375,4.807692308
7/9/2024,0,0,1.277777778,0
7/10/2024,10.58272947,1.444444444,5.166666667,10.58272947
7/11/2024,1.975308642,0.222222222,3.388888889,1.975308642
7/12/2024,2.255892256,0.277777778,2.944444444,2.255892256
7/13/2024,0,0,1.166666667,0
7/14/2024,0,0,1.166666667,0
7/15/2024,1.111111111,0.166666667,3.5,1.111111111
7/16/2024,0,0,2.444444444,0
7/17/2024,3.439153439,0.222222222,2.166666667,3.439153439
7/18/2024,0,0,0,0
7/19/2024,0,0,1.944444444,0
7/20/2024,0,0,1.5,0
7/21/2024,0,0,1.666666667,0
7/22/2024,0,0,2.777777778,0
7/23/2024,0,0,3.444444444,0
7/24/2024,9.234562021,1.722222222,7.222222222,9.234562021
7/25/2024,8.846153846,1.666666667,6.666666667,8.846153846
7/26/2024,0,0,5.777777778,0
7/27/2024,0,0,1.333333333,0
7/28/2024,0,0,3.277777778,0
7/29/2024,3.333333333,0.333333333,3,3.333333333
7/30/2024,0,0,2.944444444,0
7/31/2024,0,0,4.055555556,0
8/1/2024,0,0,3.833333333,0
8/2/2024,0,0,4.5,0
8/3/2024,0,0,2.222222222,0
8/4/2024,0,0,2.555555556,0
8/5/2024,0,0,3.166666667,0
8/6/2024,0,0,3.666666667,0
