hour,socializing_index_60min,hour_total_social,hour_total_ped,date
8,0,0,1,7/8/2024
9,0,0,12,7/8/2024
10,0,0,9,7/8/2024
11,0,0,2,7/8/2024
12,0,0,11,7/8/2024
13,0,0,12,7/8/2024
14,0,0,6,7/8/2024
15,0,0,4,7/8/2024
16,76.92307692307693,10,13,7/8/2024
17,0,0,5,7/8/2024
18,0,0,3,7/8/2024
19,0,0,2,7/8/2024
20,0,0,5,7/8/2024
21,0,0,0,7/8/2024
22,0,0,1,7/8/2024
23,0,0,0,7/8/2024
6,0,0,0,7/9/2024
7,0,0,2,7/9/2024
8,0,0,0,7/9/2024
9,0,0,11,7/9/2024
10,0,0,6,7/9/2024
11,0,0,0,7/9/2024
12,0,0,0,7/9/2024
13,0,0,0,7/9/2024
14,0,0,0,7/9/2024
15,0,0,0,7/9/2024
16,0,0,0,7/9/2024
17,0,0,0,7/9/2024
18,0,0,0,7/9/2024
19,0,0,2,7/9/2024
20,0,0,1,7/9/2024
21,0,0,0,7/9/2024
22,0,0,1,7/9/2024
23,0,0,0,7/9/2024
6,0,0,0,7/10/2024
7,0,0,0,7/10/2024
8,0,0,0,7/10/2024
9,0,0,0,7/10/2024
10,0,0,0,7/10/2024
11,0,0,2,7/10/2024
12,0,0,10,7/10/2024
13,50,8,16,7/10/2024
14,75,6,8,7/10/2024
15,0,0,4,7/10/2024
16,43.75,7,16,7/10/2024
17,21.73913043478261,5,23,7/10/2024
18,0,0,8,7/10/2024
19,0,0,1,7/10/2024
20,0,0,0,7/10/2024
21,0,0,3,7/10/2024
22,0,0,2,7/10/2024
23,0,0,0,7/10/2024
6,0,0,3,7/11/2024
7,0,0,2,7/11/2024
8,0,0,0,7/11/2024
9,0,0,2,7/11/2024
10,0,0,5,7/11/2024
11,0,0,8,7/11/2024
12,0,0,7,7/11/2024
13,22.22222222222222,2,9,7/11/2024
14,13.333333333333334,2,15,7/11/2024
15,0,0,5,7/11/2024
16,0,0,1,7/11/2024
17,0,0,0,7/11/2024
18,0,0,1,7/11/2024
19,0,0,0,7/11/2024
20,0,0,0,7/11/2024
21,0,0,0,7/11/2024
22,0,0,2,7/11/2024
23,0,0,1,7/11/2024
6,0,0,0,7/12/2024
7,0,0,1,7/12/2024
8,0,0,0,7/12/2024
9,0,0,0,7/12/2024
10,0,0,2,7/12/2024
11,0,0,0,7/12/2024
12,0,0,7,7/12/2024
13,0,0,3,7/12/2024
14,0,0,5,7/12/2024
15,13.333333333333334,2,15,7/12/2024
16,27.27272727272727,3,11,7/12/2024
17,0,0,3,7/12/2024
18,0,0,2,7/12/2024
19,0,0,1,7/12/2024
20,0,0,0,7/12/2024
21,0,0,2,7/12/2024
22,0,0,1,7/12/2024
