date,daily_people,daily_dwelling_people,total_daily_dwell_time,average_daily_dwell_time
2024-07-08,86,39,40.18333333333334,0.4672480620155039
2024-07-09,23,8,18.55,0.8065217391304348
2024-07-10,93,58,542.4833333333333,5.8331541218637994
2024-07-11,70,24,163.93333333333334,2.341904761904762
2024-07-12,54,23,97.91666666666667,1.8132716049382718
2024-07-13,21,0,0.0,0.0
2024-07-14,22,8,12.3,0.5590909090909091
2024-07-15,63,18,113.36666666666666,1.7994708994708994
2024-07-16,44,3,31.000000000000004,0.7045454545454546
2024-07-17,39,11,226.66666666666669,5.811965811965813
2024-07-19,35,6,90.95,2.5985714285714288
2024-07-20,28,4,2.783333333333333,0.0994047619047619
2024-07-21,32,3,0.0,0.0
2024-07-22,50,6,29.21666666666666,0.5843333333333333
2024-07-23,65,10,53.6,0.8246153846153846
2024-07-24,130,66,369.2666666666667,2.8405128205128207
2024-07-25,144,58,393.5166666666667,2.73275462962963
2024-07-26,116,34,11.049999999999999,0.09525862068965517
2024-07-27,24,5,13.833333333333334,0.576388888888889
2024-07-28,71,21,32.1,0.45211267605633804
2024-07-29,54,7,32.483333333333334,0.6015432098765432
2024-07-30,55,7,2.6,0.04727272727272727
2024-07-31,80,10,6.550000000000001,0.081875
2024-08-01,69,5,46.65,0.6760869565217391
2024-08-02,82,9,52.93333333333334,0.6455284552845529
2024-08-03,41,0,0.0,0.0
2024-08-04,47,4,19.833333333333332,0.4219858156028369
2024-08-05,57,3,3.9166666666666665,0.06871345029239766
2024-08-06,66,2,0.5666666666666667,0.008585858585858586
