hour,date,hourly_people,hourly_dwelling_people,total_hourly_dwell_time,average_hourly_dwell_time,timestamp,temperature,precipiation_amount,precipitation_chance,percent_cloud_cover,percent_humidity,conditions,conditions_2
2024-07-08T08,2024-07-08,1.0,0.0,0.0,0.0,2024-07-08 08:00:00,,,,,,,
2024-07-08T09,2024-07-08,12.0,8.0,1.0833333333333333,0.0833333333333333,2024-07-08 09:00:00,,,,,,,
2024-07-08T10,2024-07-08,9.0,4.0,4.1,0.45,2024-07-08 10:00:00,,,,,,,
2024-07-08T11,2024-07-08,2.0,0.0,0.0,0.0,2024-07-08 11:00:00,,,,,,,
2024-07-08T12,2024-07-08,11.0,3.0,0.1166666666666666,0.0,2024-07-08 12:00:00,,,,,,,
2024-07-08T13,2024-07-08,12.0,8.0,1.15,0.0833333333333333,2024-07-08 13:00:00,,,,,,,
2024-07-08T14,2024-07-08,6.0,3.0,0.0,0.0,2024-07-08 14:00:00,,,,,,,
2024-07-08T15,2024-07-08,4.0,0.0,0.0,0.0,2024-07-08 15:00:00,,,,,,,
2024-07-08T16,2024-07-08,13.0,9.0,32.65,2.5,2024-07-08 16:00:00,,,,,,,
2024-07-08T17,2024-07-08,5.0,2.0,0.35,0.0666666666666666,2024-07-08 17:00:00,,,,,,,
2024-07-08T18,2024-07-08,3.0,1.0,0.4333333333333333,0.1333333333333333,2024-07-08 18:00:00,,,,,,,
2024-07-08T19,2024-07-08,2.0,0.0,0.0,0.0,2024-07-08 19:00:00,,,,,,,
2024-07-08T20,2024-07-08,5.0,1.0,0.3,0.05,2024-07-08 20:00:00,,,,,,,
2024-07-08T21,2024-07-08,0.0,0.0,0.0,0.0,2024-07-08 21:00:00,,,,,,,
2024-07-08T22,2024-07-08,1.0,0.0,0.0,0.0,2024-07-08 22:00:00,,,,,,,
2024-07-08T23,2024-07-08,0.0,0.0,0.0,0.0,2024-07-08 23:00:00,,,,,,,
2024-07-09T00,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 00:00:00,,,,,,,
2024-07-09T01,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 01:00:00,,,,,,,
2024-07-09T02,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 02:00:00,,,,,,,
2024-07-09T03,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 03:00:00,,,,,,,
2024-07-09T04,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 04:00:00,,,,,,,
2024-07-09T05,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 05:00:00,,,,,,,
2024-07-09T06,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 06:00:00,,,,,,,
2024-07-09T07,2024-07-09,2.0,0.0,0.0,0.0,2024-07-09 07:00:00,,,,,,,
2024-07-09T08,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 08:00:00,,,,,,,
2024-07-09T09,2024-07-09,11.0,8.0,18.55,1.6833333333333331,2024-07-09 09:00:00,,,,,,,
2024-07-09T10,2024-07-09,6.0,0.0,0.0,0.0,2024-07-09 10:00:00,,,,,,,
2024-07-09T11,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 11:00:00,,,,,,,
2024-07-09T12,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 12:00:00,,,,,,,
2024-07-09T13,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 13:00:00,,,,,,,
2024-07-09T14,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 14:00:00,,,,,,,
2024-07-09T15,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 15:00:00,,,,,,,
2024-07-09T16,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 16:00:00,,,,,,,
2024-07-09T17,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 17:00:00,,,,,,,
2024-07-09T18,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 18:00:00,,,,,,,
2024-07-09T19,2024-07-09,2.0,0.0,0.0,0.0,2024-07-09 19:00:00,,,,,,,
2024-07-09T20,2024-07-09,1.0,0.0,0.0,0.0,2024-07-09 20:00:00,,,,,,,
2024-07-09T21,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 21:00:00,,,,,,,
2024-07-09T22,2024-07-09,1.0,0.0,0.0,0.0,2024-07-09 22:00:00,,,,,,,
2024-07-09T23,2024-07-09,0.0,0.0,0.0,0.0,2024-07-09 23:00:00,,,,,,,
2024-07-10T00,2024-07-10,0.0,0.0,0.0,0.0,2024-07-10 00:00:00,59.9,0.0,0.0,95.7,93.88,Overcast,Cloudy
2024-07-10T01,2024-07-10,0.0,0.0,0.0,0.0,2024-07-10 01:00:00,60.1,0.0,0.0,99.1,97.17,Overcast,Cloudy
2024-07-10T02,2024-07-10,0.0,0.0,0.0,0.0,2024-07-10 02:00:00,59.6,0.0,0.0,100.0,97.19,Overcast,Cloudy
2024-07-10T03,2024-07-10,0.0,0.0,0.0,0.0,2024-07-10 03:00:00,59.1,0.296,100.0,100.0,96.3,"Rain, Overcast",Rainy
